datetime,lat,lon
2012-10-22T00:00,13.9,-77.8
2012-10-22T06:00,13.5,-78.2
2012-10-22T12:00,13.1,-78.6
2012-10-22T18:00,12.7,-78.7
2012-10-23T00:00,12.6,-78.4
2012-10-23T06:00,12.9,-78.1
2012-10-23T12:00,13.4,-77.9
2012-10-23T18:00,14.0,-77.6
2012-10-24T00:00,14.7,-77.3
2012-10-24T06:00,15.6,-77.1
2012-10-24T12:00,16.6,-76.9
2012-10-24T18:00,17.7,-76.7
2012-10-24T19:00,17.9,-76.6
2012-10-25T00:00,18.9,-76.4
2012-10-25T05:25,20.0,-76.0
2012-10-25T06:00,20.1,-76.0
2012-10-25T09:00,20.9,-75.7
2012-10-25T12:00,21.7,-75.5
2012-10-25T18:00,23.3,-75.3
2012-10-26T00:00,24.8,-75.9
2012-10-26T06:00,25.7,-76.4
2012-10-26T12:00,26.4,-76.9
2012-10-26T18:00,27.0,-77.2
2012-10-27T00:00,27.5,-77.1
2012-10-27T06:00,28.1,-76.9
2012-10-27T12:00,28.8,-76.5
2012-10-27T18:00,29.7,-75.6
2012-10-28T00:00,30.5,-74.7
2012-10-28T06:00,31.3,-73.9
2012-10-28T12:00,32.0,-73.0
2012-10-28T18:00,32.8,-72.0
2012-10-29T00:00,33.9,-71.0
2012-10-29T06:00,35.3,-70.5
2012-10-29T12:00,36.9,-71.0
2012-10-29T18:00,38.3,-73.2
2012-10-29T21:00,38.8,-74.0
2012-10-29T23:30,39.4,-74.4
2012-10-30T00:00,39.5,-74.5
2012-10-30T06:00,39.9,-76.2
2012-10-30T12:00,40.1,-77.8
2012-10-30T18:00,40.4,-78.9
2012-10-31T00:00,40.7,-79.8
2012-10-31T06:00,41.1,-80.3
2012-10-31T12:00,41.5,-80.7
